"NAICS_Code","Industry","Emission_With_Margins","Diff_From_Avg","Emission_Rank"
562212,Solid Waste Landfill,10.98900032043457,10.603,1
327310,Cement Manufacturing,3.8580000400543213,3.472,2
112111,Beef Cattle Ranching and Farming,3.2980000972747803,2.912,3
112112,Cattle Feedlots,3.2980000972747803,2.912,3
112130,Dual-Purpose Cattle Ranching and Farming,3.2980000972747803,2.912,3
111130,Dry Pea and Bean Farming,3.006999969482422,2.621,4
111140,Wheat Farming,3.006999969482422,2.621,4
111150,Corn Farming,3.006999969482422,2.621,4
111160,Rice Farming,3.006999969482422,2.621,4
111191,Oilseed and Grain Combination Farming,3.006999969482422,2.621,4
111199,All Other Grain Farming,3.006999969482422,2.621,4
112120,Dairy Cattle and Milk Production,2.578000068664551,2.192,5
562213,Solid Waste Combustors and Incinerators,2.1659998893737793,1.78,6
325311,Nitrogenous Fertilizer Manufacturing,2.115000009536743,1.729,7
325312,Phosphatic Fertilizer Manufacturing,2.115000009536743,1.729,7
325314,Fertilizer (Mixing Only) Manufacturing,2.115000009536743,1.729,7
212111,Bituminous Coal and Lignite Surface Mining,2.0160000324249268,1.63,8
212112,Bituminous Coal Underground Mining,2.0160000324249268,1.63,8
212113,Anthracite Mining,2.0160000324249268,1.63,8
562211,Hazardous Waste Treatment and Disposal,1.7769999504089355,1.391,9
562112,Hazardous Waste Collection,1.7769999504089355,1.391,9
327410,Lime Manufacturing,1.7139999866485596,1.328,10
327420,Gypsum Product Manufacturing,1.7139999866485596,1.328,10
311221,Wet Corn Milling,1.6369999647140503,1.251,11
486110,Pipeline Transportation of Crude Oil,1.5579999685287476,1.172,12
486210,Pipeline Transportation of Natural Gas,1.5579999685287476,1.172,12
486910,Pipeline Transportation of Refined Petroleum Products,1.5579999685287476,1.172,12
486990,All Other Pipeline Transportation,1.5579999685287476,1.172,12
325193,Ethyl Alcohol Manufacturing,1.5099999904632568,1.124,13
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",1.5099999904632568,1.124,13
325199,All Other Basic Organic Chemical Manufacturing,1.5099999904632568,1.124,13
325120,Industrial Gas Manufacturing,1.4500000476837158,1.064,14
311211,Flour Milling,1.4479999542236328,1.062,15
311212,Rice Milling,1.4479999542236328,1.062,15
311213,Malt Manufacturing,1.4479999542236328,1.062,15
111910,Tobacco Farming,1.430999994277954,1.045,16
111920,Cotton Farming,1.430999994277954,1.045,16
111930,Sugarcane Farming,1.430999994277954,1.045,16
111940,Hay Farming,1.430999994277954,1.045,16
111991,Sugar Beet Farming,1.430999994277954,1.045,16
111992,Peanut Farming,1.430999994277954,1.045,16
111998,All Other Miscellaneous Crop Farming,1.430999994277954,1.045,16
331313,Alumina Refining and Primary Aluminum Production,1.409999966621399,1.024,17
325130,Synthetic Dye and Pigment Manufacturing,1.3819999694824219,0.996,18
112210,Hog and Pig Farming,1.375,0.989,19
112410,Sheep Farming,1.375,0.989,19
112420,Goat Farming,1.375,0.989,19
112511,Finfish Farming and Fish Hatcheries,1.375,0.989,19
112512,Shellfish Farming,1.375,0.989,19
112519,Other Aquaculture,1.375,0.989,19
112910,Apiculture,1.375,0.989,19
112920,Horses and Other Equine Production,1.375,0.989,19
112930,Fur-Bearing Animal and Rabbit Production,1.375,0.989,19
112990,All Other Animal Production,1.375,0.989,19
111110,Soybean Farming,1.3259999752044678,0.94,20
111120,Oilseed (except Soybean) Farming,1.3259999752044678,0.94,20
324121,Asphalt Paving Mixture and Block Manufacturing,1.3179999589920044,0.932,21
311611,Animal (except Poultry) Slaughtering,1.2790000438690186,0.893,22
311612,Meat Processed from Carcasses,1.2790000438690186,0.893,22
311613,Rendering and Meat Byproduct Processing,1.2790000438690186,0.893,22
311513,Cheese Manufacturing,1.2589999437332153,0.873,23
212210,Iron Ore Mining,1.2330000400543213,0.847,24
212221,Gold Ore Mining,1.2330000400543213,0.847,24
212222,Silver Ore Mining,1.2330000400543213,0.847,24
212291,Uranium-Radium-Vanadium Ore Mining,1.2330000400543213,0.847,24
212299,All Other Metal Ore Mining,1.2330000400543213,0.847,24
325110,Petrochemical Manufacturing,1.1970000267028809,0.811,25
112310,Chicken Egg Production,1.1710000038146973,0.785,26
112320,Broilers and Other Meat Type Chicken Production,1.1710000038146973,0.785,26
112330,Turkey Production,1.1710000038146973,0.785,26
112340,Poultry Hatcheries,1.1710000038146973,0.785,26
112390,Other Poultry Production,1.1710000038146973,0.785,26
212230,"Copper, Nickel, Lead, and Zinc Mining",1.1649999618530273,0.779,27
325212,Synthetic Rubber Manufacturing,1.1360000371932983,0.75,28
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,1.1360000371932983,0.75,28
325180,Other Basic Inorganic Chemical Manufacturing,1.1169999837875366,0.731,29
484110,"General Freight Trucking, Local",1.1150000095367432,0.729,30
484121,"General Freight Trucking, Long-Distance, Truckload",1.1150000095367432,0.729,30
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",1.1150000095367432,0.729,30
484210,Used Household and Office Goods Moving,1.1150000095367432,0.729,30
484220,"Specialized Freight (except Used Goods) Trucking, Local",1.1150000095367432,0.729,30
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",1.1150000095367432,0.729,30
311224,Soybean and Other Oilseed Processing,1.090000033378601,0.704,31
325211,Plastics Material and Resin Manufacturing,1.0759999752044678,0.69,32
111411,Mushroom Production,1.0429999828338623,0.657,33
111419,Other Food Crops Grown Under Cover,1.0429999828338623,0.657,33
111421,Nursery and Tree Production,1.0429999828338623,0.657,33
111422,Floriculture Production,1.0429999828338623,0.657,33
311511,Fluid Milk Manufacturing,1.0390000343322754,0.653,34
311512,Creamery Butter Manufacturing,1.0390000343322754,0.653,34
331110,Iron and Steel Mills and Ferroalloy Manufacturing,0.9789999723434448,0.593,35
481111,Scheduled Passenger Air Transportation,0.9760000109672546,0.59,36
481112,Scheduled Freight Air Transportation,0.9760000109672546,0.59,36
481211,Nonscheduled Chartered Passenger Air Transportation,0.9760000109672546,0.59,36
481212,Nonscheduled Chartered Freight Air Transportation,0.9760000109672546,0.59,36
481219,Other Nonscheduled Air Transportation,0.9760000109672546,0.59,36
322110,Pulp Mills,0.9570000171661377,0.571,37
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",0.9459999799728394,0.56,38
324122,Asphalt Shingle and Coating Materials Manufacturing,0.9160000085830688,0.53,39
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",0.8690000176429749,0.483,40
331318,"Other Aluminum Rolling, Drawing, and Extruding",0.8690000176429749,0.483,40
324110,Petroleum Refineries,0.859000027179718,0.473,41
324191,Petroleum Lubricating Oil and Grease Manufacturing,0.8479999899864197,0.462,42
324199,All Other Petroleum and Coal Products Manufacturing,0.8479999899864197,0.462,42
313110,"Fiber, Yarn, and Thread Mills",0.8370000123977661,0.451,43
211120,Crude Petroleum Extraction,0.8299999833106995,0.444,44
211130,Natural Gas Extraction,0.8299999833106995,0.444,44
311119,Other Animal Food Manufacturing,0.8090000152587891,0.423,45
322130,Paperboard Mills,0.8029999732971191,0.417,46
325910,Printing Ink Manufacturing,0.7839999794960022,0.398,47
326160,Plastics Bottle Manufacturing,0.7829999923706055,0.397,48
311225,Fats and Oils Refining and Blending,0.7559999823570251,0.37,49
322121,Paper (except Newsprint) Mills,0.7369999885559082,0.351,50
322122,Newsprint Mills,0.7369999885559082,0.351,50
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",0.7179999947547913,0.332,51
311412,Frozen Specialty Food Manufacturing,0.7179999947547913,0.332,51
325520,Adhesive Manufacturing,0.7139999866485596,0.328,52
336370,Motor Vehicle Metal Stamping,0.7080000042915344,0.322,53
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,0.6949999928474426,0.309,54
212321,Construction Sand and Gravel Mining,0.6919999718666077,0.306,55
212322,Industrial Sand Mining,0.6919999718666077,0.306,55
212324,Kaolin and Ball Clay Mining,0.6919999718666077,0.306,55
212325,Clay and Ceramic and Refractory Minerals Mining,0.6919999718666077,0.306,55
212391,"Potash, Soda, and Borate Mineral Mining",0.6919999718666077,0.306,55
212392,Phosphate Rock Mining,0.6919999718666077,0.306,55
212393,Other Chemical and Fertilizer Mineral Mining,0.6919999718666077,0.306,55
212399,All Other Nonmetallic Mineral Mining,0.6919999718666077,0.306,55
327320,Ready-Mix Concrete Manufacturing,0.6869999766349792,0.301,56
332114,Custom Roll Forming,0.6729999780654907,0.287,57
221310,Water Supply and Irrigation Systems,0.6520000100135803,0.266,58
221320,Sewage Treatment Facilities,0.6520000100135803,0.266,58
221330,Steam and Air-Conditioning Supply,0.6520000100135803,0.266,58
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,0.6439999938011169,0.258,59
332111,Iron and Steel Forging,0.640999972820282,0.255,60
332112,Nonferrous Forging,0.640999972820282,0.255,60
332117,Powder Metallurgy Part Manufacturing,0.640999972820282,0.255,60
311615,Poultry Processing,0.6399999856948853,0.254,61
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",0.6399999856948853,0.254,61
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",0.6399999856948853,0.254,61
311520,Ice Cream and Frozen Dessert Manufacturing,0.6370000243186951,0.251,62
332431,Metal Can Manufacturing,0.6320000290870667,0.246,63
332439,Other Metal Container Manufacturing,0.6320000290870667,0.246,63
562119,Other Waste Collection,0.6320000290870667,0.246,63
562991,Septic Tank and Related Services,0.6320000290870667,0.246,63
562998,All Other Miscellaneous Waste Management Services,0.6320000290870667,0.246,63
562219,Other Nonhazardous Waste Treatment and Disposal,0.6320000290870667,0.246,63
221210,Natural Gas Distribution,0.6269999742507935,0.241,64
331523,Nonferrous Metal Die-Casting Foundries,0.6190000176429749,0.233,65
331524,Aluminum Foundries (except Die-Casting),0.6190000176429749,0.233,65
331529,Other Nonferrous Metal Foundries (except Die-Casting),0.6190000176429749,0.233,65
483111,Deep Sea Freight Transportation,0.6179999709129333,0.232,66
483112,Deep Sea Passenger Transportation,0.6179999709129333,0.232,66
483113,Coastal and Great Lakes Freight Transportation,0.6179999709129333,0.232,66
483114,Coastal and Great Lakes Passenger Transportation,0.6179999709129333,0.232,66
483211,Inland Water Freight Transportation,0.6179999709129333,0.232,66
483212,Inland Water Passenger Transportation,0.6179999709129333,0.232,66
326111,Plastics Bag and Pouch Manufacturing,0.6079999804496765,0.222,67
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,0.6079999804496765,0.222,67
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,0.6079999804496765,0.222,67
311991,Perishable Prepared Food Manufacturing,0.6029999852180481,0.217,68
311999,All Other Miscellaneous Food Manufacturing,0.6029999852180481,0.217,68
115111,Cotton Ginning,0.5910000205039978,0.205,69
115112,"Soil Preparation, Planting, and Cultivating",0.5910000205039978,0.205,69
115113,"Crop Harvesting, Primarily by Machine",0.5910000205039978,0.205,69
115114,Postharvest Crop Activities (except Cotton Ginning),0.5910000205039978,0.205,69
115115,Farm Labor Contractors and Crew Leaders,0.5910000205039978,0.205,69
115116,Farm Management Services,0.5910000205039978,0.205,69
115210,Support Activities for Animal Production,0.5910000205039978,0.205,69
115310,Support Activities for Forestry,0.5910000205039978,0.205,69
111211,Potato Farming,0.5879999995231628,0.202,70
111219,Other Vegetable (except Potato) and Melon Farming,0.5879999995231628,0.202,70
493110,General Warehousing and Storage,0.5680000185966492,0.182,71
493120,Refrigerated Warehousing and Storage,0.5680000185966492,0.182,71
493130,Farm Product Warehousing and Storage,0.5680000185966492,0.182,71
493190,Other Warehousing and Storage,0.5680000185966492,0.182,71
325920,Explosives Manufacturing,0.5669999718666077,0.181,72
325991,Custom Compounding of Purchased Resins,0.5669999718666077,0.181,72
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",0.5669999718666077,0.181,72
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.5669999718666077,0.181,72
482111,Line-Haul Railroads,0.5580000281333923,0.172,73
482112,Short Line Railroads,0.5580000281333923,0.172,73
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,0.5490000247955322,0.163,74
331221,Rolled Steel Shape Manufacturing,0.5490000247955322,0.163,74
331222,Steel Wire Drawing,0.5490000247955322,0.163,74
